,aazeazeount_id,post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count,message
1,184096565021911,1035269309904628,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035269309904628,2016-09-19,link,mostly true,,1.0,33.0,34.0,Can either candidate move the needle in the debates? An ABC News review of data since 1960 suggests that past debates have almost never directly and measurably changed the candidates' relative standings. But at least some debates may have had more subtle impacts.
2,184096565021911,1035305953234297,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035305953234297,2016-09-19,link,mostly true,,34.0,63.0,27.0,"BREAKING: Ahmad Rahami, 28, wanted in connection with NYC bombing, says NYPD."
3,184096565021911,1035322636565962,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035322636565962,2016-09-19,link,mostly true,,35.0,170.0,86.0,"Donald J. Trump: ""Do we have a choice? Look what's going on. Do we really have a choice? We're trying to be so politically correct in our country and this is only going to get worse."""
4,184096565021911,1035352946562931,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035352946562931,2016-09-19,video,mostly true,,568.0,3188.0,2815.0,"WATCH LIVE: Hillary Clinton holds news conference in White Plains, NY. http://abcn.ws/2cYAZVP"
5,184096565021911,1035366579894901,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035366579894901,2016-09-19,link,mostly true,,23.0,28.0,21.0,"LATEST: Authorities now believe the three bombing incidents this weekend in Seaside, New Jersey, New York City, and Elizabeth, New Jersey, are related, sources say, although it is unclear whether the explosive devices were the work of one person or a larger group."
6,184096565021911,1035411183223774,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035411183223774,2016-09-19,video,mostly true,,46.0,409.0,105.0,"Hillary Clinton responds to weekend attacks: ""This threat is real, but so is our resolve. Americans will not cower, we will prevail."" http://abcn.ws/2ck2Xe1"
7,184096565021911,1035430716555154,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035430716555154,2016-09-19,link,mostly true,,7.0,62.0,64.0,"Donald J. Trump's surrogates and leading supporters push a narrative that Hillary Clinton's 2008 campaign ""started the birther controversy,"" meaning the false notion that President Obama was born outside the United States."
8,184096565021911,1035451683219724,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035451683219724,2016-09-19,link,mostly true,,7.0,39.0,6.0,"BREAKING: Man believed to be person wanted in connection with NY and NJ bombings taken into custody, sources say."
9,184096565021911,1035453279886231,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035453279886231,2016-09-19,video,mostly true,,152.0,278.0,59.0,"President Obama: Toughness and resiliency of New York and New Jersey ""makes me so proud to be an American"" http://abcn.ws/2cCpeSl"
10,184096565021911,1035456253219267,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035456253219267,2016-09-19,link,mostly true,,8.0,29.0,14.0,"LATEST: Ahmad Rahami, wanted in connection with NY, NJ bombings, taken into custody. http://abcn.ws/2cYGP9w"
11,184096565021911,1035489746549251,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035489746549251,2016-09-19,link,mostly true,,,10.0,0.0,Warplanes target the besieged Syrian city of Aleppo for the first time since the ceasefire went into effect last week.
12,184096565021911,1035491416549084,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035491416549084,2016-09-19,video,mostly true,,37.0,507.0,164.0,"Hillary Clinton: Arrest of suspect wanted in New Jersey and New York bombings a ""sobering reminder"" of need for steady leadership ""in a dangerous world."""
